t x y z Vx Vy Vz
17520 -3608112.57179 -495984.577532 5708379.00031 2589.45739371 -7151.6795383 1023.17370333
17580 -3444550.91821 -923625.822592 5756538.26384 2860.50299571 -7097.54998476 581.522210868
17640 -3265115.87299 -1347036.0493 5778108.53849 3118.36754717 -7010.6991646 137.214844015
17700 -3070634.20426 -1764263.14001 5772991.9211 3361.86473431 -6891.52424524 -307.698630058
17760 -2862001.89868 -2173383.32409 5741213.63904 3589.87461962 -6740.5724515 -751.165574801
17820 -2640180.01711 -2572510.0612 5682921.88754 3801.34862192 -6558.53669524 -1191.14128645
17880 -2406190.31751 -2959802.63398 5598387.10025 3995.31253181 -6346.25087837 -1625.59695277
17940 -2161110.70006 -3333474.52514 5488000.80467 4170.86987003 -6104.68758586 -2052.52604874
18000 -1906070.39139 -3691801.70867 5352274.05373 4327.20727887 -5834.95700384 -2469.95256399
18060 -1642244.76896 -4033130.82314 5191835.27194 4463.60070586 -5538.30354794 -2875.94211453
18120 -1370849.85595 -4355887.03256 5007427.4057 4579.41987034 -5216.09896496 -3268.61347326
18180 -1093136.62138 -4658581.42054 4799904.43906 4674.13043799 -4869.83419763 -3646.14797478
18240 -810385.178016 -4939817.92423 4570227.40703 4747.29560259 -4501.11236027 -4006.79715814
18300 -523898.863892 -5198299.87438 4319459.95241 4798.5784458 -4111.64233061 -4348.8906155
18360 -234998.170072 -5432836.12018 4048763.38627 4827.74448024 -3703.23107716 -4670.84458301
18420 54985.4564676 -5642346.64295 3759391.23991 4834.6631271 -3277.77443347 -4971.17006889
18480 344715.861464 -5825867.60237 3452683.36577 4819.30806426 -2837.24764534 -5248.47976658
18540 632858.43979 -5982555.82867 3130059.64544 4781.75725842 -2383.69630444 -5501.49440508
18600 918086.391878 -6111692.76301 2793013.31505 4722.19287338 -1919.22684826 -5729.04917035
18660 1199086.95627 -6212687.79753 2443103.91267 4640.90046169 -1445.9960603 -5930.09973946
18720 1474567.56443 -6285080.96987 2081949.89254 4538.26722373 -966.200216664 -6103.72732673
18780 1743261.87541 -6328545.01315 1711220.96056 4414.77984093 -482.06445548 -6249.14302618
18840 2003935.67586 -6342886.76308 1332630.15876 4271.02212516 4.16817257316 -6365.69183162
18900 2255392.62176 -6328047.88319 947925.731516 4107.67197934 490.248451535 -6452.85571531
18960 2496479.76672 -6284104.88187 558882.857912 3925.49735133 973.932608599 -6510.25496381
19020 2726092.83067 -6211268.47136 167295.345465 3725.35177279 1452.99253419 -6537.64836184
19080 2943181.20662 -6109882.3483 -225032.690609 3508.17012158 1925.2250968 -6534.93368331
19140 3146752.71228 -5980421.39878 -616295.194965 3274.96420988 2388.46225227 -6502.14858789
19200 3335878.05032 -5823489.2605 -1004692.56502 3026.81740487 2840.58217749 -6439.47025286
19260 3509694.92079 -5639815.23229 -1388439.95349 2764.87859356 3279.51951706 -6347.21277202
19320 3667411.78331 -5430250.63411 -1765775.38024 2490.35671999 3703.27346406 -6225.82379611
19380 3808311.31916 -5195764.71489 -2134967.67346 2204.5161227 4109.91519079 -6075.88238008
19440 3931753.60282 -4937440.07266 -2494324.31098 1908.67119692 4497.59689215 -5898.09744594
19500 4037178.89787 -4656467.48847 -2842199.12174 1604.17917831 4864.56188582 -5693.30424924
19560 4124109.98481 -4354140.19923 -3176999.68385 1292.43212153 5209.15270296 -5462.45795742
19620 4192154.04222 -4031847.79108 -3497194.30697 974.850342315 5529.81574308 -5206.62678962
19680 4241004.19822 -3691069.86325 -3801318.6642 652.87782328 5825.10488756 -4926.98742456
19740 4270440.81784 -3333369.42127 -4087982.20933 327.977565396 6093.68723158 -4624.82200929
19800 4280332.45645 -2960385.85787 -4355874.38372 1.62497051093 6334.35071086 -4301.51363411
19860 4270636.36651 -2573827.49748 -4603770.4607 -324.700110567 6546.01047041 -3958.53884784
19920 4241398.54304 -2175463.85129 -4830536.89617 -649.520466706 6727.71213942 -3597.45919163
19980 4192753.39796 -1767117.73459 -5035136.20999 -971.366873556 6878.63361145 -3219.91427227
20040 4124923.13679 -1350657.25611 -5216631.50248 -1288.78297059 6998.08780673 -2827.61625727
20100 4038216.81816 -927987.601958 -5374190.63158 -1600.33107673 7085.52653637 -2422.3437366
20160 3933029.03771 -501042.59941 -5507089.97299 -1904.59872579 7140.54367411 -2005.93400015
20220 3809838.22666 -71776.1385196 -5614717.69402 -2200.20482487 7162.87675806 -1580.27481226
20280 3669204.60182 357846.476707 -5696576.55011 -2485.8051838 7152.40796254 -1147.29679142
20340 3511767.78552 785857.242191 -5752286.23478 -2760.09811369 7109.16532638 -708.965970514
20400 3338244.07703 1210294.23809 -5781585.26332 -3021.83041412 7033.32369047 -267.275599234
20460 3149423.36607 1629210.43621 -5784332.34242 -3269.80318641 6925.20446004 175.762658877
20520 2946165.71635 2040682.46219 -5760507.21606 -3502.87702106 6785.27448631 618.127270224
20580 2729397.64765 2442819.28865 -5710211.0106 -3719.97697689 6614.14499809 1057.79508876
20640 2500108.10925 2833770.86785 -5633666.06975 -3920.0979397 6412.57051334 1492.75026422
20700 2259344.12439 3211736.66992 -5531215.22221 -4102.31010056 6181.44658285 1920.9941881
20760 2008206.12419 3574974.03207 -5403320.4432 -4265.76370525 5921.80576649 2340.55552361
20820 1747843.02853 3921806.23172 -5250560.94257 -4409.69277205 5634.81268512 2749.499173
20880 1479447.12117 4250630.26708 -5073630.74835 -4533.41837583 5321.75934919 3145.93426746
20940 1204248.72241 4559924.37175 -4873335.81292 -4636.35217678 4984.06086657 3528.02228184
21000 923510.641044 4848255.25996 -4650590.60725 -4718.00018771 4623.25056385 3893.98602478
21060 638522.405812 5114285.03738 -4406414.15491 -4777.96625864 4240.97362832 4242.11919506
21120 350594.308704 5356777.68173 -4141925.49771 -4815.95481027 3838.9791791 4570.79562168
21180 61051.3123873 5574605.01425 -3858338.63529 -4831.77261484 3419.11136407 4878.4774812
21240 -228773.121176 5766752.13046 -3556957.00799 -4825.3296773 2983.30038984 5163.72232937
21300 -517543.236909 5932322.31013 -3239167.58238 -4796.63960743 2533.55420299 5425.18945562
21360 -803927.214594 6070541.4459 -2906434.55148 -4745.82005372 2071.95061705 5661.64653556
21420 -1086603.42931 6180761.98088 -2560292.61017 -4673.09329111 1600.62854695 5871.97713492
21480 -1364266.73396 6262466.25867 -2202339.77102 -4578.78619163 1121.77708342 6055.18827147
21540 -1635634.69737 6315269.15919 -1834229.76755 -4463.32868457 637.622868582 6210.41634548
21600 -1899453.7052 6338919.97651 -1457664.17467 -4327.2508648 150.417821041 6336.93066768
21660 -2154504.8754 6333303.61042 -1074384.36416 -4171.17990861 -337.571420974 6434.13574892
21720 -2399609.80392 6298441.15716 -686163.314175 -3995.83750086 -824.073300716 6501.57407681
21780 -2633636.15629 6234489.88287 -294797.229884 -3802.03705771 -1306.82237852 6538.92945267
21840 -2855503.05509 6141742.48346 97903.0116768 -3590.67956072 -1783.57191128 6546.02918958
21900 -3064186.1716 6020625.58815 490120.478542 -3362.74800572 -2252.10609017 6522.84392827
21960 -3258722.47399 5871697.58649 880040.734645 -3119.30174376 -2710.25023492 6469.4859134
22020 -3438214.65924 5695645.89686 1265860.2883 -2861.47163601 -3155.87949248 6386.20756004
22080 -3601835.3078 5493283.70993 1645794.98238 -2590.45545296 -3586.92792885 6273.40086162
22140 -3748830.73755 5265546.1499 2018088.3464 -2307.51228371 -4001.39879902 6131.59643976
22200 -3878524.48108 5013485.80786 2381019.84561 -2013.95564449 -4397.37494403 5961.46093559
22260 -3990320.33165 4738267.68311 2732912.92055 -1711.14618724 -4773.02798697 5763.79275091
22320 -4083704.9654 4441163.61582 3072142.74459 -1400.48496493 -5126.62616972 5539.51706843
22380 -4158250.17984 4123546.27333 3397143.67991 -1083.4073024 -5456.54151529 5289.68083657
22440 -4213614.76771 3786882.71405 3706416.43393 -761.376660493 -5761.25677413 5015.44777236
22500 -4249546.00955 3432727.54081 3998534.91053 -435.878023715 -6039.37214411 4718.0931328
22560 -4265880.75469 3062715.66019 4272152.7315 -108.410834897 -6289.61167112 4398.99787361
22620 -4262546.07296 2678554.67114 4526009.37747 219.518181745 -6510.82914931 4059.64174847
22680 -4239559.48276 2282016.9266 4758935.88057 546.401904414 -6702.01302013 3701.59533617
22740 -4197028.78155 1874931.34314 4969860.02649 870.739169061 -6862.2898568 3326.51186614
22800 -4135151.50784 1459175.03604 5157811.08989 1191.04076636 -6990.92684931 2936.119972
22860 -4054214.04154 1036664.80849 5321924.1686 1505.83558899 -7087.33435564 2532.21744662
22920 -3954590.32146 609348.469061 5461444.14323 1813.6772501 -7151.06906463 2116.664736
22980 -3836740.15704 179195.954481 5575729.20491 2113.15090671 -7181.83714532 1691.37693507
23040 -3701207.13755 -251809.709222 5664253.85736 2402.87979382 -7179.49634825 1258.31441668
23100 -3548616.16054 -681681.528964 5726611.34377 2681.53142616 -7144.0567001 819.473224882
23160 -3379670.58886 -1108437.67424 5762515.51078 2947.82383125 -7075.68013158 376.875944872
23220 -3195149.03095 -1530110.56152 5771802.13474 3200.53181437 -6974.67937312 -67.4371658345
23280 -2995901.75926 -1944755.8541 5754429.71383 3438.49263049 -6841.51627508 -511.417138316
23340 -2782846.81851 -2350461.35213 5710479.72145 3660.61066363 -6676.79990627 -953.015247937
23400 -2556965.86985 -2745355.77253 5640156.32551 3865.8617272 -6481.28481096 -1390.19189446
23460 -2319299.7619 -3127617.42249 5543785.56681 4053.29799094 -6255.86905015 -1820.9258507
23520 -2070943.78336 -3495482.72035 5421813.96018 4222.05353739 -6001.59088015 -2243.22425934
23580 -1813042.59276 -3847254.45698 5274806.48404 4371.34933023 -5719.6234325 -2655.13285517
23640 -1546784.89589 -4181309.69651 5103443.97691 4500.49659828 -5411.26827329 -3054.7453598
23700 -1273397.95921 -4496107.29666 4908520.00586 4608.89911956 -5077.94936368 -3440.21175371
23760 -994141.984809 -4790195.09191 4690937.25204 4696.05575812 -4721.20775989 -3809.74629925
23820 -710304.308322 -5062216.75151 4451703.39692 4761.563786 -4342.69580233 -4161.63623776
23880 -423193.393776 -5310918.23853 4191926.46819 4805.12210909 -3944.1695111 -4494.25097478
23940 -134132.668764 -5535153.75886 3912809.64491 4826.53322859 -3527.47934379 -4806.05074553
24000 155545.712588 -5733891.13636 3615645.5765 4825.7037588 -3094.56051902 -5095.59412724
24060 444507.112345 -5906216.61678 3301810.2811 4802.64424924 -2647.4236852 -5361.54464237
24120 731420.638298 -6051339.11741 2972756.66102 4757.46898169 -2188.14567628 -5602.67698505
24180 1014965.36206 -6168593.90855 2630007.65065 4690.39574038 -1718.85972816 -5817.88303569
24240 1293836.51217 -6257445.68426 2275149.01442 4601.74513119 -1241.74490951 -6006.17746229
24300 1566751.60276 -6317490.97936 1909821.8284 4491.93906774 -759.014949137 -6166.70261941
24360 1832456.44222 -6348459.90733 1535714.69588 4361.49828662 -272.906851047 -6298.73247128
24420 2089730.96707 -6350217.22161 1154555.76108 4211.03906401 214.330183342 -6401.67540914
24480 2337394.86594 -6322762.73197 768104.580888 4041.26958769 700.445157869 -6475.07624765
24540 2574312.98633 -6266231.11159 378143.886791 3852.98637271 1183.19530643 -6518.61797885
24600 2799400.52526 -6180891.09232 -13528.7567929 3647.07056582 1660.3566019 -6532.12341557
24660 3011627.97986 -6067144.00288 -405109.372372 3424.48353701 2129.73510667 -6515.5559804
24720 3210025.80358 -5925521.62109 -794795.988005 3186.26150271 2589.1782482 -6469.01880311
24780 3393688.72362 -5756683.38663 -1180796.95428 2933.50976194 3036.58470206 -6392.75239521
24840 3561779.7219 -5561413.06896 -1561339.11002 2667.39732364 3469.91280938 -6287.13214711
24900 3713533.70655 -5340614.94253 -1934675.81333 2389.15186521 3887.18882853 -6152.66632939
24960 3848260.87008 -5095309.44571 -2299094.85111 2100.0541799 4286.51590462 -5989.99382809
25020 3965349.68535 -4826628.29696 -2652926.17525 1801.43167948 4666.082944 -5799.88052817
25080 4064269.49785 -4535809.11742 -2994549.38299 1494.65160921 5024.17204318 -5583.21457135
25140 4144572.72612 -4224189.65268 -3322400.91041 1181.11485562 5359.16461418 -5341.00173003
25200 4205896.70855 -3893201.62817 -3634980.96525 862.250233869 5669.54772575 -5074.36124883
25260 4247965.19931 -3544364.19665 -3930860.19563 539.508367782 5953.92127467 -4784.52093607
25320 4270589.47492 -3179276.96349 -4208686.01214 214.354887812 6211.00454003 -4472.81049342
25380 4273669.03177 -2799612.68242 -4467188.47634 -111.736210193 6439.64048409 -4140.65405614
25440 4257191.91184 -2407109.75222 -4705185.76909 -437.288286373 6638.79839876 -3789.5639097
25500 4221234.70282 -2003564.547 -4921589.33156 -760.827379155 6807.57717344 -3421.13567741
25560 4165962.20045 -1590823.50043 -5115408.71411 -1080.88829325 6945.21014773 -3037.04298478
25620 4091626.67498 -1170774.88911 -5285756.03988 -1396.02159515 7051.06986474 -2639.02983774
25680 3998566.71925 -745340.390665 -5431849.95613 -1704.80032062 7124.67062524 -2228.90152441
25740 3887205.73051 -316466.555343 -5553019.05492 -2005.82543247 7165.6690862 -1808.5163643
25800 3758050.09165 113883.752233 -5648704.8512 -2297.73059468 7173.86500955 -1379.77910926
25860 3611687.05258 543739.992881 -5718464.37769 -2579.18756566 7149.2031896 -944.634400883
25920 3448782.25828 971132.714483 -5761972.34343 -2848.91250279 7091.77524668 -505.058648042
25980 3270076.89474 1394102.37278 -5779022.76524 -3105.67218237 7001.81966666 -63.0508483852
26040 3076384.4877 1810708.10536 -5769530.0614 -3348.28932035 6879.72043945 379.375920993
26100 2868587.40125 2219036.42428 -5733529.66952 -3575.64740785 6726.00595433 820.201987469
26160 2647633.03805 2617209.86773 -5671178.2106 -3786.69591749 6541.34863951 1257.4090294
26220 2414529.71381 3003395.6207 -5582753.12877 -3980.45585198 6326.56398881 1688.98964753
26280 2170342.20914 3375814.02315 -5468651.72341 -4156.02481549 6082.60770628 2112.9577786
26340 1916187.04308 3732746.85756 -5329389.57268 -4312.58124705 5810.57140853 2527.35836258
26400 1653227.50491 4072545.36788 -5165598.41183 -4449.38837425 5511.6781316 2930.27595374
26460 1382668.4423 4393638.01213 -4978023.50098 -4565.79839958 5187.27785307 3319.84332244
26520 1105750.79881 4694537.92498 -4767520.45766 -4661.25654294 4838.8421454 3694.25069251
26580 823745.931814 4973850.01966 -4535051.52937 -4735.30423943 4467.9575295 4051.75499819
26640 537949.765846 5230277.66682 -4281681.33123 -4787.58150462 4076.318172 4390.68841103
26700 249676.813931 5462628.93212 -4008572.08966 -4817.82906327 3665.71848768 4709.46639339
26760 -39745.9269667 5669822.35751 -3716978.39994 -4825.89035304 3238.04518685 5006.59590372
26820 -328985.181205 5850892.23064 -3408241.4914 -4811.71275008 2795.26813101 5280.68346075
26880 -616707.637454 6004993.27839 -3083783.03816 -4775.3476182 2339.43045642 5530.44208057
26940 -901586.172824 6131404.77519 -2745098.59606 -4716.94979949 1872.6391045 5754.69689641
27000 -1182306.05332 6229534.10447 -2393750.71661 -4636.7774238 1397.05595424 5952.39052816
27060 -1457571.13255 6298919.77841 -2031361.71964 -4535.1919126 914.888394199 6122.58914387
27120 -1726110.03027 6339233.84616 -1659606.0903 -4412.65711168 428.378294731 6264.4887159
27180 -1986682.21278 6350283.59881 -1280202.52975 -4269.73686907 -60.2102204074 6377.42009557
27240 -2238083.89057 6332012.53659 -894905.757287 -4107.09151779 -548.60293814 6460.85221813
27300 -2479153.695 6284500.62804 -505498.165998 -3925.4741403 -1034.52697359 6514.3939239
27360 -2708778.13295 6207963.90173 -113781.390667 -3725.72687854 -1515.72167663 6537.79514936
27420 -2925896.8136 6102753.38953 278432.184259 -3508.77696507 -1989.94936384 6530.94773542
27480 -3129507.42259 5969353.43087 669327.952107 -3275.63227114 -2455.00587586 6493.88578833
27540 -3318670.41672 5808379.34818 1057097.619 -3027.37645977 -2908.73101706 6426.78556579
27600 -3492513.4158 5620574.49306 1439947.71424 -2765.16370548 -3349.01911814 6329.96471214
27660 -3650235.25899 5406806.65706 1816108.0246 -2490.21276925 -3773.82956708 6203.88041842
27720 -3791109.68779 5168063.86905 2183839.88112 -2203.80053724 -4181.19660021 6049.12638554
27780 -3914488.63777 4905449.63934 2541444.24091 -1907.25553363 -4569.23797125 5866.42916086
27840 -4019805.14826 4620177.70433 2887269.54706 -1601.95165152 -4936.16308308 5656.64444467
27900 -4106575.89333 4313566.27941 3219719.36119 -1289.30170304 -5280.2813015 5420.75307981
27960 -4174403.30929 3987031.81362 3537259.72466 -970.750409358 -5600.01008503 5159.85590564
28020 -4222977.29258 3642082.29015 3838426.17236 -647.767222776 -5893.88183212 4875.16742479
28080 -4252076.48155 3280310.1647 4121830.35522 -321.839716537 -6160.54919942 4568.00929776
28140 -4261569.16124 2903385.00568 4386166.28997 5.53245890053 -6398.78993784 4239.80445243
28200 -4251413.80293 2513045.83358 4630216.26475 332.84384953 -6607.51212691 3892.07133834
28260 -4221659.20678 2111093.14287 4852856.37907 658.590142271 -6785.75935679 3526.41736611
28320 -4172444.21986 1699380.63859 5053061.66025 981.275226734 -6932.71496711 3144.53142915
28380 -4103997.04579 1279806.74684 5229910.71917 1299.41769335 -7047.70545922 2748.17611553
28440 -4016634.17844 854305.9262 5382589.93407 1611.556979 -7130.20380255 2339.17970073
28500 -3910758.9599 424839.786728 5510397.13393 1916.25982053 -7179.83237012 1919.4274049
28560 -3786859.74126 -6611.92511232 5612744.73683 2212.12693966 -7196.36429501 1490.85211545
28620 -3645507.65492 -438060.36608 5689162.34721 2497.79918831 -7179.72308015 1055.42586417
28680 -3487354.04149 -867516.599927 5739298.88562 2771.96299909 -7129.98215129 615.152706945
28740 -3313127.54844 -1293000.61405 5762924.30207 3033.35606659 -7047.36579376 172.061582959
28800 -3123630.86064 -1712550.41354 5759930.8054 3280.77393463 -6932.25040816 -271.80290386
28860 -2919737.02548 -2124231.13636 5730333.47174 3513.076679 -6785.16360939 -714.391707695
28920 -2702385.41188 -2526144.02592 5674270.17755 3729.1942444 -6606.78053746 -1153.662164
28980 -2472577.39843 -2916435.14801 5592000.94689 3928.1302703 -6397.9194909 -1587.58662149
29040 -2231371.8444 -3293303.88258 5483906.82724 4108.96578143 -6159.53893637 -2014.15989167
29100 -1979880.31131 -3655011.26832 5350488.29428 4270.86387226 -5892.73526301 -2431.40781912
29160 -1719261.98221 -3999888.17764 5192363.08744 4413.07490074 -5598.73903856 -2837.39755149
29220 -1450718.28699 -4326343.1947 5010263.41589 4534.94090547 -5278.90893235 -3230.2479249
29280 -1175487.30083 -4632870.08907 4805032.5768 4635.89879294 -4934.72460878 -3608.13858086
29340 -894837.974559 -4918054.86808 4577621.05816 4715.48287075 -4567.77988109 -3969.31822006
29400 -610064.219555 -5180582.42134 4329082.14433 4773.32717842 -4179.77579499 -4312.11303474
29460 -322478.864049 -5419242.72314 4060567.00824 4809.16736875 -3772.51270757 -4634.93527119
29520 -33407.5180277 -5632936.52847 3773319.30774 4822.8418735 -3347.8814476 -4936.29107183
29580 255817.616677 -5820680.5317 3468669.3401 4814.29264795 -2907.85434888 -5214.78743485
29640 543863.978413 -5981611.98759 3148027.78811 4783.56584491 -2454.47620232 -5469.13898919
29700 829404.910601 -6114992.76701 2812879.056 4730.81213581 -1989.85432266 -5698.17484105
29760 1111125.91933 -6220212.77966 2464774.21012 4656.28606434 -1516.14744002 -5900.84473016
29820 1387730.85799 -6296792.71438 2105323.59139 4560.34430099 -1035.55425328 -6076.22376914
29880 1657947.9847 -6344386.10737 1736189.18114 4443.44323538 -550.302558176 -6223.51604914
29940 1920535.86541 -6362780.77661 1359076.76523 4306.13626263 -62.6389051218 -6342.05784964
30000 2174289.10504 -6351899.63651 975727.912367 4149.07075219 425.181798065 -6431.32057285
