t x y z Vx Vy Vz
0 5417028.219940858 -3237442.336514656 3180945.296097666 4764.234825151839 3174.547197775964 -4870.063619009776
60 5691670.08643 -3040517.09427 2882461.84927 4387.39355283 3387.40136267 -5076.00273179
120 5943159.02131 -2831229.81597 2572238.93182 3992.73346799 3586.47527001 -5261.24651351
180 6170473.95197 -2610431.90321 2251541.30364 3581.86806237 3770.95911314 -5425.0414449
240 6372692.63801 -2379021.56111 1921676.29853 3156.47709363 3940.10312675 -5566.72241211
300 6548995.43678 -2137940.10055 1583988.43457 2718.29953487 4093.22071501 -5685.71547995
360 6698668.63843 -1888168.06108 1239853.87036 2269.12626759 4229.69130191 -5781.54026184
420 6821107.35536 -1630721.17153 890674.731204 1810.792546 4348.96289076 -5853.81187741
480 6915817.95371 -1366646.16594 537873.330655 1345.17027224 4450.55431914 -5902.24248671
540 6982420.01663 -1097016.47383 182886.312756 874.160121744 4534.05719837 -5926.64239364
600 7020647.83158 -822927.803593 -172841.258795 399.683558635 4599.13752864 -5926.92071443
660 7030351.39629 -545493.639019 -527861.838535 -76.3252181632 4645.53698302 -5903.08560959
720 7011496.94043 -265840.668772 -880731.337962 -551.927357422 4673.07385607 -5855.2440808
780 6964166.96244 14895.8309249 -1230015.03914 -1025.18742633 4681.6436748 -5783.6013373
840 6888559.7835 295576.640123 -1574293.45752 -1494.1814298 4671.21947229 -5688.45973875
900 6784988.62285 575063.245334 -1912168.1289 -1957.00473998 4641.85172621 -5570.21732444
960 6653880.20095 852222.476084 -2242267.29601 -2411.77989888 4593.66796675 -5429.36594101
1020 6495772.87915 1125931.10818 -2563251.47103 -2856.66425917 4526.8720604 -5266.48898301
1080 6311314.34664 1395080.41447 -2873818.8514 -3289.85743024 4441.74317767 -5082.25876267
1140 6101258.86723 1658580.64445 -3172710.56713 -3709.60849868 4338.63445474 -4877.43352673
1200 5866464.10034 1915365.41464 -3458715.73891 -4114.22299548 4217.97135998 -4652.8541396
1260 5607887.5123 2164395.99239 -3730676.32783 -4502.06958415 4080.24977788 -4409.44045314
1320 5326582.39518 2404665.45666 -3987491.75836 -4871.58644718 3926.03382347 -4148.187384
1380 5023693.51207 2635202.71977 -4228123.29771 -5221.28735051 3755.95340132 -3870.16072008
1440 4700452.38864 2855076.39555 -4451598.17601 -5549.76736846 3570.70152343 -3576.49267752
1500 4358172.27166 3063398.49962 -4657013.43298 -5855.70825384 3371.03140088 -3268.37723003
1560 3998242.77639 3259327.96871 -4843539.47804 -6137.88344024 3157.7533238 -2947.06523154
1620 3622124.24511 3442073.98691 -5010423.3521 -6395.16266552 2931.7313446 -2613.85935328
1680 3231341.83981 3610899.10726 -5156991.68055 -6626.5162073 2693.87977894 -2270.10885539
1740 2827479.39267 3765122.15836 -5282653.30804 -6831.01872275 2445.15953857 -1917.20421289
1800 2412173.03805 3904120.92624 -5386901.60691 -7007.85268631 2186.57431011 -1556.57161482
1860 1987104.65059 4027334.60265 -5469316.4523 -7156.31141989 1919.16659319 -1189.66735501
1920 1553995.11366 4134265.99176 -5529565.85783 -7275.80171096 1644.01361109 -817.972132264
1980 1114597.44336 4224483.46805 -5567407.26699 -7365.84601448 1362.22310674 -442.985276916
2040 670689.792824 4297622.67871 -5582688.49642 -7426.08423503 1074.92903657 -66.2189208675
2100 224068.362416 4353387.98503 -5575348.32805 -7456.27508555 783.287174551 310.807872631
2160 -223459.758918 4391553.63764 -5545416.74821 -7456.29701971 488.470638843 686.575002918
2220 -670083.795318 4411964.68121 -5493014.83287 -7426.14873448 191.665353174 1059.56723319
2280 -1113996.50287 4414537.58539 -5418354.27893 -7365.94924002 -105.934544377 1428.28008248
2340 -1553401.37962 4399260.59879 -5321736.58275 -7275.93749395 -403.131332444 1791.22569127
2400 -1986519.8405 4366193.82445 -5203551.86792 -7156.47159751 -698.728364055 2146.93864337
2460 -2411598.33082 4315469.01522 -5064277.36554 -7008.02755137 -991.534737122 2493.98172589
